id,year,AGDP,AGHE,AAFE,K,T
1,2007,30460.00,158.779295883649,209.121661079741,8553.64594646812,89.2926417407194
1,2008,34754.86,191.66856377442,282.8288,12164.5089503549,89.9052292017136
1,2009,39133.97236,306.6914,318.7807,13664.9054851279,106.121938898208
1,2010,43986.58493,413.594693732969,354.937149410184,14618.548,150.33965845878
1,2011,49220.98854,474.0693,390.3950,16036.0496903515,143.234452119829
1,2012,54930.62321,564.5917,470.015414403874,18753.4524133383,159.579866566996
1,2013,60258.89366,673.069452345005,556.9926,21399.126177055,197.7414
1,2014,65501.41741,817.702118184407,630.290623755558,24252.8815245367,222.993407962023
1,2015,70938.03506,994.671304775456,669.545461330746,27373.0622890627,238.21888254245
1,2016,76356.42405,1013.4676,598.2278,30207.5735768441,262.1297
2,2007,16899.00,114.578635619995,193.960206923483,6529.41891711931,9.47638013858804
2,2008,19366.254,142.015765646044,255.01949088544,6802.31365816758,8.13068275504284
2,2009,21881.93039,254.180080350681,375.448654088034,8602.4385366129,8.26145152604769
2,2010,24989.16451,249.589825631151,381.563493292054,8535.647,7.18522702559843
2,2011,27812.9401,334.541882376773,508.118774813279,10837.3552905193,9.99477317771278
2,2012,30816.73763,402.458744273178,650.5303,11910.5308366377,13.3965500245968
2,2013,33744.32771,382.465428827598,749.4109,14090.9560150223,10.8926803037058
2,2014,36545.10691,489.419737947755,918.508979913452,16310.873986296,11.2982116933157
2,2015,39432.17035,551.424417004296,1242.37088448579,19367.088066394,14.2851397874603
2,2016,42598.06101,619.6452,946.9731,21700.2508435575,12.916492075635
3,2007,17240.00,115.558705877301,195.420811655997,4995.224689632,4.93077294798907
3,2008,19722.56,161.622937993585,265.256774918977,4426.4185,4.88195808074071
3,2009,22247.04768,280.518776330569,390.956671322625,6513.71584602726,7.50455849395852
3,2010,25294.89321,296.850388600548,381.009478836154,7950.89562121939,8.23698124857558
3,2011,28760.29358,394.444600219222,442.789015754124,8190.36520266815,6.59840063057192
3,2012,31994.9638,394.66439407927,564.8893,9515.45478607311,7.96988451715567
3,2013,34842.51558,421.3802,627.5121,11095.2991623338,6.286096978162
3,2014,37664.75934,534.152421025228,745.037048411808,12795.9405945033,7.22022526004029
3,2015,40790.93437,645.061419420434,840.37855495322,15055.0296454513,8.52102486579492
3,2016,44232.22075,720.9604,906.2627,16912.751642441,13.1336105440116
4,2007,12590.00,142.515621399623,229.534611057647,5053.88705152012,7.84500928473644
4,2008,14063.03,173.584213502319,310.7974,4928.51355974651,8.31928120274633
4,2009,15888.41129,270.8338,398.0047,5731.86132712754,12.7711772038095
4,2010,18208.11934,287.523805005864,393.825839258735,7217.086,12.0933977538062
4,2011,20502.34238,339.9244,502.2925,6946.07745256193,12.4379169052402
4,2012,22860.11175,370.8322,570.2450,6868.62551473092,9.6781472033521
4,2013,25168.98304,434.9771,716.3189,7213.94682561606,10.7765413996474
4,2014,27660.71236,572.436317278892,888.145415053559,7640.90814378097,10.7575537848651
